title,price,rating,reviews,availability
OnePlus Nord 5 | Snapdragon 8s Gen 3 | Stable 144FPS Gaming | Dual 50MP Flagship Camera | Powered by OnePlus AI | 8GB + 256GB | Phantom Grey,"31,998.",4.4 out of 5 stars,"3,120 ratings",In stock
"Samsung Galaxy M17 5G (Sapphire Black, 8GB RAM, 128GB Storage)| 50MP OIS Triple Camera| Gorilla Glass Victus| IP54 Rating| 6 Gen of OS Upgrades| AI| Circle to Search| Gemini Live| Without Charger","16,999.",4.2 out of 5 stars,248 ratings,In stock
"POCO C71, Desert Gold (6GB, 128GB)","6,799.",4.1 out of 5 stars,"1,169 ratings",In stock
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging | Charger in The Box","8,599.",4.0 out of 5 stars,"9,297 ratings",In stock
Nothing Phone (3a) Black 128GB 8GB RAM,"23,200.",4.4 out of 5 stars,390 ratings,Only 1 left in stock.
"realme NARZO 80 Lite 4G (Obsidian Black, 6GB+128GB) | 6300mAh Segment's Biggest Battery | 7.94mm Slim Design | 300% Ultra Volume | Pulse Light: 9 Colors, 5 Glow Modes | Ai Assist","8,298.",4.2 out of 5 stars,"1,539 ratings",In stock
"Samsung Galaxy S24 FE 5G AI Smartphone (Graphite, 8GB RAM, 128GB Storage)","31,999.",4.3 out of 5 stars,"1,137 ratings",
OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 128GB | Black Infinity,"24,998.",4.4 out of 5 stars,"3,138 ratings",In stock
"Motorola G96 (Pastures, 8GB RAM, 128GB Storage)","16,345.",4.4 out of 5 stars,82 ratings,In stock
"OnePlus Nord CE4 (Celadon Marble, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Gen 3 - Best in The Segment | 50 MP Camera with OIS","18,999.",4.3 out of 5 stars,"11,994 ratings",In stock
"Samsung Galaxy M07 (Black, 4GB RAM, 64GB Storage) | MediaTek Helio G99 | IP54 Rating | 50MP Auto Focus Camera | 7.6mm Slim | 5000mAh Battery| 25W Fast Charging | 6 Gen of OS Upgrades | Without Charger","6,799.",4.0 out of 5 stars,105 ratings,In stock
"Google Pixel 9A (Obsidian, 256 GB) (8 GB RAM)","43,999.",4.2 out of 5 stars,191 ratings,In stock
"Nothing Phone (3a) Pro 5G (Grey, 12GB RAM + 256GB Storage)","33,800.",4.3 out of 5 stars,98 ratings,In stock
"Nothing Phone (3A) 5G (White, 8GB RAM, 256GB Storage)","26,400.",4.3 out of 5 stars,546 ratings,In stock
"iQOO Z10 Lite 5G (Titanium Blue, 8GB RAM, 256GB Storage) | 6000 mAh Battery | Dimensity 6300 5G Processor with 433K+* AnTuTu Score | IP64 Rated & Military Grade Shock-Resistance*","13,498.",4.1 out of 5 stars,"4,003 ratings",In stock
"POCO M7 5G, Satin Black (6GB, 128GB)","8,999.",4.1 out of 5 stars,"1,792 ratings",In stock
"iQOO Z10x 5G (Titanium, 8GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability","15,498.",4.3 out of 5 stars,"7,383 ratings",In stock
"realme NARZO 80 Lite 5G (Crystal Purple, 6GB+128GB) | 6000mAh Long-Lasting Battery | MediaTek Dimensity 6300 5G | AI Assist | IP64 Rated Water & Dust Resistance | Military-Grade Durability","10,998.",4.2 out of 5 stars,"2,109 ratings",In stock
